LabelName,DisplayName
/m/014j1m,Apple
/m/047v4b,Artichoke
/m/01fb_0,Bagel
/m/052lwg6,Baked goods
/m/09qck,Banana
/m/01599,Beer
/m/0jg57,Bell pepper
/m/09728,Bread
/m/0hkxq,Broccoli
/m/01j3zr,Burrito
/m/0fbw6,Cabbage
/m/0fszt,Cake
/m/0gm28,Candy
/m/0kpt_,Cantaloupe
/m/0fj52s,Carrot
/m/01nkt,Cheese
/m/09b5t,Chicken
/m/0djtd,Coconut
/m/043nyj,Common fig
/m/021mn,Cookie
/m/0n28_,Crab
/m/08p92x,Cream
/m/015wgc,Croissant
/m/015x4r,Cucumber
/m/0284d,Dairy Product
/m/0270h,Dessert
/m/0jy4k,Doughnut
/m/0271t,Drink
/m/09ddx,Duck
/m/033cnk,Egg (Food)
/m/0ch_cf,Fish
/m/02y6n,French fries
/m/02xwb,Fruit
/m/0cjs7,Garden Asparagus
/m/0388q,Grape
/m/0hqkz,Grapefruit
/m/02g30s,Guacamole
/m/0cdn1,Hamburger
/m/01b9xk,Hot dog
/m/0cxn2,Ice cream
/m/01z1kdw,Juice
/m/04gth,Lavender (Plant)
/m/09k_b,Lemon
/m/0cjq5,Lobster
/m/0703r8,Loveseat
/m/0fldg,Mango
/m/0cffdh,Maple
/m/04zpv,Milk
/m/01tcjp,Muffin
/m/02jvh9,Mug
/m/052sf,Mushroom
/m/0cyhj_,Orange
/m/0_cp5,Oyster
/m/01dwwc,Pancake
/m/05z55,Pasta
/m/0hnyx,Pastry
/m/0dj6p,Peach
/m/061_f,Pear
/m/0fp6w,Pineapple
/m/0663v,Pizza
/m/0jwn_,Pomegranate
/m/01hrv5,Popcorn
/m/05vtc,Potato
/m/01f91_,Pretzel
/m/015x5n,Radish
/m/0grw1,Salad
/m/02x8cch,Salt and pepper shakers
/m/0l515,Sandwich
/m/06nwz,Seafood
/m/0fbdv,Shellfish
/m/0ll1f78,Shrimp
/m/01ww8y,Snack
/m/0f9_l,Snail
/m/0h8kx63,Spice rack
/m/0dv77,Squash (Plant)
/m/09gys,Squid
/m/07fbm7,Strawberry
/m/07030,Sushi
/m/07crc,Taco
/m/07cmd,Tank
/m/02jz0l,Tap
/m/02zvsm,Tart
/m/07clx,Tea
/m/07j87,Tomato
/m/0jly1,Turkey
/m/01dwsz,Waffle
/m/0kpqd,Watermelon
/m/02cvgx,Winter melon
/m/027pcv,Zucchini
